code,link_sec,date,doc_title,link_eng,link_es
 PR-4681 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4681,19/4/19,"Argentina. Propuesta de préstamo para el “Proyecto de Mejora del Corredor de la Ruta Provincial No. 82, Provincia de Mendoza”",http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11065,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10855
 PR-4680 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4680,19/4/16,Panamá. Propuesta de préstamo para el “Programa de Apoyo a Políticas de Igualdad de Género”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11064,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10854
 PR-4679 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4679,19/4/16,Ecuador. Propuesta de préstamo para el “Programa de Emergencia para la Sostenibilidad Macroeconómica y la Prosperidad”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11061,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10853
 PR-4678 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4678,19/4/09,"Colombia. Propuesta de préstamo para el “Programa Nacional para Asegurar un Suministro de Energía Sostenible y Eficiente, Fase II”",http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11057,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10852
 PR-4677 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4677,19/4/02,"Bolivia. Propuesta de préstamo para el “Programa de Reformas de Política de los Sectores de Agua, Saneamiento, Residuos Sólidos y de Recursos Hídricos en Bolivia”",http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11049,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10850
 PR-4676 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4676,19/3/08,Brasil. Propuesta de préstamo para el “Programa de Ampliación y Mejoramiento de los Servicios de Agua Potable del Estado de Rio Grande do Sul - PROSASUL”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11047,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10847
 PR-4675 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4675,19/3/05,Ecuador. Propuesta de préstamo para el “Programa de Agua Potable y Alcantarillado para Quito”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11043,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10845
 PR-4674 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4674,19/3/01,Bolivia. Propuesta de préstamo para el “Programa de Fortalecimiento de la Gestión del Medio Ambiente y los Recursos Naturales II”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11042,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10844
 PR-4673 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4673,19/2/12,"Argentina. Propuesta de préstamo para el “Programa para el Fortalecimiento de la Agenda Digital: Conectividad, Gobierno Electrónico y Transformación Productiva Digital”",http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11040,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10843
 PR-4672 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4672,19/2/05,"Ecuador. Propuesta de préstamo para el “Sistema Nacional de Atracción y Facilitación de Inversiones""",http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11037,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10842
 PR-4671 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-4671,19/2/05,Argentina. Propuesta de Línea de Crédito Condicional para Proyectos de Inversión (CCLIP) para el “Programa de Fortalecimiento de la Gestión Provincial” y primer préstamo individual bajo la línea para el “Programa de Fortalecimiento de la Gestión Provincial II”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-11038,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-10841
